topic_sortedc_str,topic_hl
apprenticeship jinglejobs job label,Royal Mail Jobs
biggest boss revolt year,Politcs
birth reply royalletters royalreply,Royal Reply
collecting pack philatelist philately,Philately
declares plc position short,Finance News
definitive philatelist philately presentation,Philately
driving infoapply job office,Royal Mail Jobs
driving job sm1jobs suttonjobs,Royal Mail Jobs
ftse rmg share stock,Finance News
germany royal royalletter royalreply,Royal Reply
gradjobs graduatescheme jobsearch listen,Royal Mail Jobs
labour libdems tory uk,Politics
letter mail service strike,Customer Service
luxembourg royal royalletter royalreply,Royal Reply
new profit shareholder world,Finance News
plc position reduced wace,Finance News
