,tweet_id,user.username,topic,cleaned_text
18,7.510985563968307e+17,wembleymich,"['strike', 'service', 'mail', 'uk']",Thank you postie :) #royalmail
39,7.554007177169142e+17,beccyboo89,"['strike', 'service', 'mail', 'uk']",#royalmail discusted with your service why do I pay postage fees
76,7.615524739118612e+17,TradeCFDs,"['strike', 'service', 'mail', 'uk']",#rmg #ROYALMAIL - Spanish competition authority investigation
94,7.64447463063298e+17,gestaltz,"['strike', 'service', 'mail', 'uk']",Time to get it together #royalmail.
103,7.655971217561354e+17,KatieCooper24,"['strike', 'service', 'mail', 'uk']",#royalmail customer services #rude
127,7.706431726072627e+17,Lisa_CMN,"['strike', 'service', 'mail', 'uk']",#royalmail delivery 
133,7.712608531107103e+17,bethann_siviter,"['strike', 'service', 'mail', 'uk']","@DisBayParkAbuse Driver ""would have moved once off phone"" me: Ur not moving til a mgr is here"" coombs wd #royalmail "
152,7.736706672543662e+17,dbbmonica,"['strike', 'service', 'mail', 'uk']",Royal Mail names â mail-back Mondayâ as the busiest day for...  #royalmail
155,7.740239086347346e+17,jac9815,"['strike', 'service', 'mail', 'uk']",Good news indeed #royalmail 
162,7.743658366771855e+17,canadianroyal82,"['strike', 'service', 'mail', 'uk']",More #royalmail from Harry! 
234,7.818670322623775e+17,Stephan69006177,"['strike', 'service', 'mail', 'uk']",#RoyalMail Thanks for my open parcel also left in my bin 
259,7.862174124044042e+17,ihomcps1,"['strike', 'service', 'mail', 'uk']",The Queen came to visit 5SC today to deliver some post #royalmail 
308,7.930490426074808e+17,StephenQuickArt,"['strike', 'service', 'mail', 'uk']",Building transportation crate even the #royalmail could not break (jk would never ship via them) 
348,7.985688040790385e+17,hubertandcalvin,"['strike', 'service', 'mail', 'uk']",And they are off #royalmail #special 
350,7.989559762588877e+17,OscardeMuriel,"['strike', 'service', 'mail', 'uk']",That was quick for #royalmail !!! 
374,8.018745052956099e+17,hot_h,"['strike', 'service', 'mail', 'uk']",@Razledazlemark cheers.....the #Royalmail joke
406,8.050232507114619e+17,BusbySalerooms,"['strike', 'service', 'mail', 'uk']",#bridport postal wax seal #royalmail sale 8 Dec 2016 
466,8.100867663802819e+17,geembailey,"['strike', 'service', 'mail', 'uk']",Only out by 135 miles #royalmail! 
510,8.145787077424742e+17,kissmyarsewank,"['strike', 'service', 'mail', 'uk']",@Deta132 #royalmail shirt the blue one lol
534,8.187764160241664e+17,pierced_pout,"['strike', 'service', 'mail', 'uk']",Love it when the postman does knock! Thanks #royalmail
548,8.217411027388948e+17,grimesadhesif,"['strike', 'service', 'mail', 'uk']",@onlyz @unearthedsounds totnes sorting office? #royalmail
603,8.300789496234721e+17,UKPostbox,"['strike', 'service', 'mail', 'uk']",#RoyalMail installing 280 new NI post boxes: 
620,8.351160764175729e+17,kliddelll,"['strike', 'service', 'mail', 'uk']",@RoyalMail seriously unimpressed postperson folded a4 env containing school certificate into 4 then through the letter box! #post #royalmail
621,8.351365773534331e+17,Oliver101,"['strike', 'service', 'mail', 'uk']",@itvnews It take 1 week by second class to reached me. Taken a p#ss ! #Royalmail
674,8.445434683870945e+17,pygmalion64,"['strike', 'service', 'mail', 'uk']",Cool stamps #bowie #royalmail 
694,8.477032220136694e+17,InfoSkara1,"['strike', 'service', 'mail', 'uk']",#royalmail must be happy with everyone writing letters these days :-) 
743,8.573825646376632e+17,APP_Editor,"['strike', 'service', 'mail', 'uk']",Mailman brought #RoyalMail post in a few
818,8.710561246021919e+17,GaryBrownPO,"['strike', 'service', 'mail', 'uk']",Not acceptable parking by #royalmail 
830,8.724782742780846e+17,demindblower,"['strike', 'service', 'mail', 'uk']",Tories love dick 
927,8.88696171346133e+17,MadamMiaow,"['strike', 'service', 'mail', 'uk']",Austerity Vince. #royalmail 
979,8.975193948044452e+17,debbiegreene171,"['strike', 'service', 'mail', 'uk']",#Royalmail Are shit
991,9.003943447373292e+17,BBCOxford,"['strike', 'service', 'mail', 'uk']",New Royal Mail vans built by Oxfordshire carmaker  
1017,9.028883877655593e+17,SFalloon,"['strike', 'service', 'mail', 'uk']",@ASOS_HeretoHelp think you should re think who you use to send out your parcels - #royalmail #rubbish
1102,9.155382268064276e+17,Trevorisannoyed,"['strike', 'service', 'mail', 'uk']",@LorenaGuGa Royal Mail don't deliver passports couriers do #royalmail
1105,9.156140338181325e+17,m8dave55,"['strike', 'service', 'mail', 'uk']",#royalmail  nice parking 
1118,9.169610457254461e+17,Promediator,"['strike', 'service', 'mail', 'uk']",#royalmail dispute - union could be forced to #mediate 
1135,9.181013256610038e+17,payneleonie,"['strike', 'service', 'mail', 'uk']",#royalmail hull 
1144,9.188023028736205e+17,o_rocketman,"['strike', 'service', 'mail', 'uk']",#starwars #royalmail stamps !!    
1154,9.20621397977772e+17,vintagecpk,"['strike', 'service', 'mail', 'uk']",are the post office on strike in sussex this week ffs #royalmail
1175,9.239385513724109e+17,labrat,"['strike', 'service', 'mail', 'uk']",#royalmail better but still not right 
1260,9.354643431138181e+17,sinebyte,"['strike', 'service', 'mail', 'uk']","@royalmail opened mail in plastic bags with apologies, missing parcels at the depot.. merry xmas again #royalmail and thieving temp workers."
1334,9.424215427046892e+17,joeleeds_motd,"['strike', 'service', 'mail', 'uk']",a christmas carol.....#royalmail 
1338,9.428531527804518e+17,AndyRanting,"['strike', 'service', 'mail', 'uk']",#RoyalMail are a bunch of shit shocker
1341,9.431787200674611e+17,Brand_busines,"['strike', 'service', 'mail', 'uk']",#Royalmail service at #christmas 
1372,9.457697162194944e+17,whitegumballs,"['strike', 'service', 'mail', 'uk']",Look! #royalmail and they do say #merrychristmas in England so take that evangelical trump… 
1429,9.53718486190166e+17,Gizzer3010,"['strike', 'service', 'mail', 'uk']",Godalming...#royalmail
1443,9.561419090005484e+17,jasondprice,"['strike', 'service', 'mail', 'uk']",Day 2 of first aid training at Gatwick #royalmail
1515,9.689560537770148e+17,StudioUpfront,"['strike', 'service', 'mail', 'uk']",Great effort today #royalmail 
1557,9.739504907729551e+17,goldchain_flu,"['strike', 'service', 'mail', 'uk']",#royalmail is actually a joke
1559,9.740492999811318e+17,Lyssapie1,"['strike', 'service', 'mail', 'uk']",this is just too cute #royalmail 
1562,9.7396515627008e+17,Littlecub647,"['strike', 'service', 'mail', 'uk']",Comedy gold! #royalmail 
1588,9.787625923395871e+17,tracy_bowerman,"['strike', 'service', 'mail', 'uk']","Dany stamp, the folks did good #got #royalmail "
1698,9.97243968525099e+17,UK48PM,"['strike', 'service', 'mail', 'uk']",European privacy rules crackdown may stop #RoyalMail sending 700m junk letters 
1717,1.0021734451054797e+18,MolaxCho_pa,"['strike', 'service', 'mail', 'uk']",Why today does click and drop want to mess with me #lawofsod #royalmail
1809,1.0160544818412134e+18,ildobster,"['strike', 'service', 'mail', 'uk']",#royalmail really outdoing themselves here by delivering post from the future. 
1868,1.025357241598337e+18,NGeleyns,"['strike', 'service', 'mail', 'uk']",#royalMail woohoo 
1887,1.0296623983644385e+18,Ricadez,"['strike', 'service', 'mail', 'uk']",well our street must have the fittest postman going 😍 #royalmail #ilkeston
1890,1.0301522060690555e+18,hyggemusings,"['strike', 'service', 'mail', 'uk']",Post Office: My Letters going to all and sundry! UKVlog #royalmail 
1987,1.0467840177465958e+18,FT,"['strike', 'service', 'mail', 'uk']",Royal Mail shares sink after profit warning 
1991,1.0468501205774213e+18,EuropeanMag,"['strike', 'service', 'mail', 'uk']",#RoyalMail shares plunge on profit warning 
2015,1.0495803724286116e+18,HateTheMachine,"['strike', 'service', 'mail', 'uk']","corporate downsizing to follow (I speculate) at #RoyalMail
"
2074,1.0572028431894733e+18,Steph_TheVegan,"['strike', 'service', 'mail', 'uk']",Welcome back me #postie #royalmail 
2106,1.0613112219310899e+18,jstevo1,"['strike', 'service', 'mail', 'uk']",Will Genia best service in international rugby #royalmail #ups
2375,1.098926734228054e+18,swilliamsjourno,"['strike', 'service', 'mail', 'uk']",A hard no #royalmail 
2377,1.0996484547988562e+18,Jo38dd,"['strike', 'service', 'mail', 'uk']",Absolutely #royalmail 
2511,1.1232531623396557e+18,samcab21,"['strike', 'service', 'mail', 'uk']",Royal Mail at medway mail centre are currently out on strike in support of a collegue
2518,1.1267720112948101e+18,JamieCricht0n,"['strike', 'service', 'mail', 'uk']",Best postman ever 
2538,1.1304843217212129e+18,redshoesaccount,"['strike', 'service', 'mail', 'uk']",#RoyalMail to launch #parcel postboxes 
2556,1.1320013113214812e+18,Paulie76100259,"['strike', 'service', 'mail', 'uk']",#royalmail jokers 
2636,1.1521624849980293e+18,AndrewCaleguy,"['strike', 'service', 'mail', 'uk']",rm van crash in northumberland hope every 1 is ok #royalmail
2684,1.16459625774413e+18,Kelly4Law,"['strike', 'service', 'mail', 'uk']","#RoyalMail union to ballot 100,000 workers on #strike action "
2703,1.169276420213891e+18,_MMaritima,"['strike', 'service', 'mail', 'uk']",@robmcd85 always go for suppliers who use #royalmail
2738,1.1749879212224922e+18,Porcelaincanva5,"['strike', 'service', 'mail', 'uk']",Cake for #royalmail
2787,1.1803923008805806e+18,WSWS_Updates,"['strike', 'service', 'mail', 'uk']","UK #RoyalMail workers wildcat strike over racist insult by management 

"
2803,1.183673805631361e+18,TheWeekUK,"['strike', 'service', 'mail', 'uk']","Royal Mail set for Christmas strike chaos 
#royalmail "
2839,1.1880225677366968e+18,JDherts,"['strike', 'service', 'mail', 'uk']",Can anyone work out where my #royalmail postman is going wrong? 
2967,1.2027056522898678e+18,Sgt_nivag,"['strike', 'service', 'mail', 'uk']",#royalmail sucks!
3009,1.2070108362183516e+18,colemere1,"['strike', 'service', 'mail', 'uk']",Wow! Nothing stops #royalmail at Xmas
3013,1.2073983777065124e+18,leicslive,"['strike', 'service', 'mail', 'uk']",Don't get caught out 
3044,1.2127441332002202e+18,Mr4ndyP,"['strike', 'service', 'mail', 'uk']",Christmas gift returns set to hit postal system! #RoyalMail 
3064,1.2172093182708777e+18,LaganPhoto,"['strike', 'service', 'mail', 'uk']",#royalmail @ Belfast 
3101,1.222839150442963e+18,QuattroDM,"['strike', 'service', 'mail', 'uk']",#RoyalMail commits to an #electric future  via P
3187,1.2406281425590682e+18,ChiefColin58,"['strike', 'service', 'mail', 'uk']",Stamps on a letter I saw recently #royalmail 
3229,1.2435863782078136e+18,parmyarmy,"['strike', 'service', 'mail', 'uk']",Wow a thank you from #ukgov to all #royalmail  workers strange times indeed #COVID19
3230,1.2435879001823314e+18,corinthians1312,"['strike', 'service', 'mail', 'uk']",#Royalmail is the post office exercising an essential post only including parcels?
3240,1.2439418339794493e+18,TakeOnMike,"['strike', 'service', 'mail', 'uk']",And same with your flaps too ❤️ 
3318,1.2511219896973148e+18,NattieJP,"['strike', 'service', 'mail', 'uk']",@afneil What about #RoyalMail workers?
3360,1.2555733494193193e+18,TheJamieDub1,"['strike', 'service', 'mail', 'uk']",True about #royalmail?
3364,1.2559906076187566e+18,keely309,"['strike', 'service', 'mail', 'uk']",Chase postie bear 💙#RoyalMail 
3389,1.2577911668184556e+18,Primal_Digest,"['strike', 'service', 'mail', 'uk']","@las930 Blunder as #RoyalMail paints postbox near wrong hospital to thank NHS
 "
3437,1.2638088953001288e+18,JustineSalter86,"['strike', 'service', 'mail', 'uk']",#royalmail not how post should arrive!!!! 😳😳 
3543,1.2806220319025193e+18,Martin_Cook_,"['strike', 'service', 'mail', 'uk']",#RoyalMail trials refitted black cab electric vans #ev 
3607,1.290435709275439e+18,alex_cefai,"['strike', 'service', 'mail', 'uk']",@millets_online refusing to refund me sent my shoes back over a month ago!!!!!! #millets #royalmail
3691,1.3041838155444716e+18,ashishkhatade,"['strike', 'service', 'mail', 'uk']",#royalmail to be rangebound 240 - 260 before reversing to sub 100 ? 
3704,1.3058728157956383e+18,Racer_Metalhead,"['strike', 'service', 'mail', 'uk']","Current opening hours for #royalmail , #belfast Tomb Street

"
3711,1.307998130043056e+18,NickMackieBook,"['strike', 'service', 'mail', 'uk']",About time. #royalmail 
3786,1.324715106970882e+18,PATHYorkshire,"['strike', 'service', 'mail', 'uk']","Christmas casual jobs at Leeds
#royalmail"
3980,1.3483057824592896e+18,skipper68uk,"['strike', 'service', 'mail', 'uk']",@AmazonHelp i got refund in end not your fault was courier - #royalmail
4113,1.365969042612355e+18,rachaelbett68,"['strike', 'service', 'mail', 'uk']",#royalmail where is my parcel RN685450707GB ??
4122,1.3667159693353943e+18,TheDazzlerTKO1,"['strike', 'service', 'mail', 'uk']",20 years service award from #RoyalMail 🙏 
4124,1.367178728808317e+18,PhoebeeEliza,"['strike', 'service', 'mail', 'uk']",Watch out for this scam #royalmail 
4137,1.3686612849049846e+18,duncr,"['strike', 'service', 'mail', 'uk']",@RoyalMail fraud text supposedly  from #royalmail 
4210,1.3771528895927992e+18,ISMAIL2326,"['strike', 'service', 'mail', 'uk']",@krispykremeUK What about #royalmail workers are we key workers on ur list #help
4275,1.3921371438883594e+18,Dougie191771001,"['strike', 'service', 'mail', 'uk']",Bloodly joke #royalmail
4332,1.4013074432762307e+18,stewie_21,"['strike', 'service', 'mail', 'uk']",@JambaWATP21 #royalmail loyal!!!
4345,1.4038250638252278e+18,jonben66,"['strike', 'service', 'mail', 'uk']",@garethrichmond5 Wants to try a proper job 50 years and a shit pension #royalmail
4348,1.4051214980760453e+18,CamperVanya,"['strike', 'service', 'mail', 'uk']",Still waiting 🥱 #royalmail 
4365,1.4101433745863025e+18,CatrinaWriter,"['strike', 'service', 'mail', 'uk']",This might cheer you up - sterling effort by @RoyalMail 
4375,1.4130410864576512e+18,kitty2688,"['strike', 'service', 'mail', 'uk']",Get our post box back #royalmail #stokevillage
4376,1.412896928132698e+18,VillageHubPlym,"['strike', 'service', 'mail', 'uk']",Stoke is famous.
4550,1.4489693862289162e+18,ajbaxter86,"['strike', 'service', 'mail', 'uk']",Walk for Arthur 
4553,1.4536562147899228e+18,2013jamiepep,"['strike', 'service', 'mail', 'uk']",Thanks #royalmail for yesterday 
4626,1.4688995543261553e+18,mrsclairesmiggy,"['strike', 'service', 'mail', 'uk']",Think my parcel man must have shit bed this morning 7.30 😳#royalmail
4682,1.4762203664733716e+18,IndergardThomas,"['strike', 'service', 'mail', 'uk']",#royalmail hi anyone else had no mail in CM2 area.
4701,1.4794929587643802e+18,Deltasphere41,"['strike', 'service', 'mail', 'uk']","#RoyalMail delivers letter to Co Antrim man using just his description.
"
4777,1.4940628016645448e+18,TheNorskaPaul,"['strike', 'service', 'mail', 'uk']",#RoyalMail office floor files 😂 
4782,1.494684163550679e+18,SCYoungUK,"['strike', 'service', 'mail', 'uk']",So #royalmail can't deliver my #covid tests today too much wind but out block cleaner and gardener attend. Heath and safety unionised labour force  having a laugh 😂
4920,1.5246958571148861e+18,BBCWorld,"['strike', 'service', 'mail', 'uk']",Royal Mail wants fleet of 500 drones to carry mail to remote UK communities 
4926,1.525065548945576e+18,MartyMc2021,"['strike', 'service', 'mail', 'uk']",Great post box topper #Royalmail in the village ready for #PlatinumJubilee 
4928,1.525414288332292e+18,dobbo666,"['strike', 'service', 'mail', 'uk']","2 days on the trot now, another customer and yes I do like my thank you treat
#postie #royalmail #cwu "
4982,1.5366390465287823e+18,brianofarabia,"['strike', 'service', 'mail', 'uk']",#royalmail you lot are bloody useless. 
5023,1.5446617591219323e+18,skipper68uk,"['strike', 'service', 'mail', 'uk']",no postie again - and they are going on strike - think ours have already #royalmail
5080,1.555207531982725e+18,cwuEastern__No5,"['strike', 'service', 'mail', 'uk']",DGSP Terry Pullinger lays it on the line 
5131,1.5616958456612618e+18,JoTerry24596389,"['strike', 'service', 'mail', 'uk']",They should b dam well satisfied they have a job totally pathetic #royalmail
5139,1.5625324522742784e+18,Rodster955i,"['strike', 'service', 'mail', 'uk']",@CWUnews Analise is that code for bullshit #royalmail
5186,1.5676373039668142e+18,lewi000000,"['strike', 'service', 'mail', 'uk']",#Royalmail on #strike  like 
5244,1.5759297899274117e+18,LFC_PaulS,"['strike', 'service', 'mail', 'uk']",Royal Mail date strikes #royalmail 
5270,1.579548805783253e+18,Resurge888,"['strike', 'service', 'mail', 'uk']",Do striking postmen still get paid? #RoyalMail
5306,1.5846185913534587e+18,saj__azim,"['strike', 'service', 'mail', 'uk']",had a proper mad busy day Monday also bc of #royalmail strike tomorrow
5320,1.5867599824979108e+18,antofaun_antony,"['strike', 'service', 'mail', 'uk']",Royal Mail staff call off planned strike action #Royalmail  
5473,1.6023742881615053e+18,nigel73200304,"['strike', 'service', 'mail', 'uk']","@PrisonPlanet on the #royalmail 
picket line"
5527,1.6069850345605816e+18,stealthG_Zizou,"['strike', 'service', 'mail', 'uk']",Royal Mail Strikes getting to them man … #royalmail
5645,1.6132226424918262e+18,BleepinComputer,"['strike', 'service', 'mail', 'uk']","Royal Mail halts international services after cyberattack - @serghei
"
