tweet_id,cleaned_text,text,topic,topic_str,topic_sortedc_str
7.49E+17,#royalmail offers Compulsory new “Chargeable” #IntegratorContracts .,#royalmail offers Compulsory new “Chargeable” #IntegratorContracts .https://t.co/lFMYrSatyB,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.64E+17,"One Stop Order Processing supports #RoyalMail #SmartStamps, Free trial available #OSOP  ","One Stop Order Processing supports #RoyalMail #SmartStamps, Free trial available #OSOP https://t.co/bAQF2xoViJ https://t.co/xy0DnT1RRf","['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.66E+17,One Stop Order Processing can export directly to #RoyalMail #DMO. Free trial available #OSOP  ,One Stop Order Processing can export directly to #RoyalMail #DMO. Free trial available #OSOP https://t.co/0ZFEBAwtmU https://t.co/EafIxkBHHd,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.79E+17,Use One Stop Orders to directly process your orders to #RoyalMail Despatch Express #OSOP  ,Use One Stop Orders to directly process your orders to #RoyalMail Despatch Express #OSOP https://t.co/sMXFFJzLmI https://t.co/hiZvNpBLpv,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.80E+17,One Stop Order Processing can print your proof of posting sheet! #OSOP #RoyalMail #eCommerce  ,One Stop Order Processing can print your proof of posting sheet! #OSOP #RoyalMail #eCommerce https://t.co/uloEAwcz91 https://t.co/HM4B5qiK09,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.86E+17,How gorgeous are these new stamps in the UK? #beatrixpotter #peterrabbitt #royalmail #beau…  ,How gorgeous are these new stamps in the UK? #beatrixpotter #peterrabbitt #royalmail #beau… https://t.co/TZzH5UyE5T https://t.co/iL6cv6QnRK,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.86E+17,How gorgeous are these new stamps in the UK? #beatrixpotter #peterrabbitt #royalmail… ,How gorgeous are these new stamps in the UK? #beatrixpotter #peterrabbitt #royalmail… https://t.co/JTLLGxyELi,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.86E+17,How gorgeous are these new stamps in the UK? #beatrixpotter #peterrabbitt #royalmail #beautifulstamps ,How gorgeous are these new stamps in the UK? #beatrixpotter #peterrabbitt #royalmail #beautifulstamps https://t.co/8YULLGFCPO,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.88E+17,Use One Stop Orders to directly process your orders to #RoyalMail Despatch Express #OSOP ,Use One Stop Orders to directly process your orders to #RoyalMail Despatch Express #OSOP https://t.co/L3iLfc1QFm,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.89E+17,One Stop Order Processing can export directly to #RoyalMail #DMO. Free trial available #OSOP ,One Stop Order Processing can export directly to #RoyalMail #DMO. Free trial available #OSOP https://t.co/L3iLfc1QFm,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
7.96E+17,One Stop Order Processing can print your proof of posting sheet! #OSOP #RoyalMail #eCommerce ,One Stop Order Processing can print your proof of posting sheet! #OSOP #RoyalMail #eCommerce https://t.co/L3iLfc1QFm,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
8.25E+17,"One Stop Order Processing supports #RoyalMail #SmartStamps, Free trial available #OSOP ","One Stop Order Processing supports #RoyalMail #SmartStamps, Free trial available #OSOP https://t.co/3mfS4NxGhc","['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
8.83E+17,Have you considered where you mail will be displayed when you design it? #RoyalMail #MarketReach #IndustryResearch ,Have you considered where you mail will be displayed when you design it? #RoyalMail #MarketReach #IndustryResearch https://t.co/xLxCfg8R7y,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
9.83E+17,Did you know that One Stop Order Processing supports #RoyalMail #SmartStamps? Free trial available #OSOP  ,Did you know that One Stop Order Processing supports #RoyalMail #SmartStamps? Free trial available #OSOP https://t.co/ilMmzGqLqa https://t.co/PY5yEEMrDt,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
9.86E+17,Did you know you can use One Stop Order Processing to directly export to #RoyalMail #DMO. Free trial available #OSOP  ,Did you know you can use One Stop Order Processing to directly export to #RoyalMail #DMO. Free trial available #OSOP https://t.co/TiOWMOYQDs https://t.co/6Dzkr0bmin,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
9.92E+17,Did you know you can use One Stop Order Processing to print your proof of posting sheet? #OSOP #RoyalMail #eCommerce  ,Did you know you can use One Stop Order Processing to print your proof of posting sheet? #OSOP #RoyalMail #eCommerce https://t.co/kATfSv0VkT https://t.co/5Zzt2XnGZA,"['order', 'stop', 'osop', 'processing']",order stop osop processing,order osop processing stop
