,cleaned_text,topic_hl,topic_hl_encoded
827,@RichieFirth Lucky you I been back at work since 2nd January the Post never stops #royalmail 😃,Customer Service,0
1691,Royal Mail to expand drone deliveries with 50 new routes ,Customer Service,0
195,Good effort boys #peoplespost plymouth mail centre ,Customer Service,0
270,When they answer the door after you've just posted the p739 #posties #royalmail #postman ,Customer Service,0
44,Use Special Delivery post to track your #NHSBursary evidence. Make a claim from #royalmail if docs lost in transit. ,Customer Service,0
2577,2001 Buses Mini Sheet #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage #postagestamp #commemorativestamps #postagestamp ,Philately,2
988,"So the #royalmail is proposing to go on strike. 
Well , crack on , there's  emails. Dpd. 
Ups.  Yodel. And a good old fashioned knock on the door to deliver a greetings card.
Bloody union bosses.",Customer Service,0
1486,Question for tweeter followers why does any company or individuals send anything by #royalmail these days as you never get it on time they are getting as bad as #hermes,Customer Service,0
2216,Could #RoyalMail's #FTSE100 status be in danger on blue-chip reshuffle this week? @Forbes #stocks #shares #investing ,Financial News,1
2174,"Postperson with Driving - Earl Shilton Delivery Office #Leicester @RoyalMail 

Send your application today:  

#LeicesterJobs #RoyalMail #Hiring ",Royal Mail Jobs,4
2343,#Postman / #Postwoman with #Driving P/T 25 hrs p.w #Tooting @RoyalMailGroup   #Jobs #CustomerServiceJobs #DrivingJobs #RoyalMail #SouthLondonJobs #SM1Jobs #SuttonJobs,Royal Mail Jobs,4
574,@meilarosemillar I have stuff sent to me 2 weeks ago and still waiting. Stuff I sent 3 weeks ago people still waiting Melia. #RoyalMail bad this year.,Customer Service,0
2501,"Did you know? In Victorian Britain postmen were nicknamed 'robins' because of their red-coloured uniform 📮📨🖋❄️🎄
#royalmail #Christmas #snailmail #letterwriting ",Royal Reply,5
196,Can complain all we like when it's unions making workers suffer 2 make their political gestures just cos they're anti tory #royalmail ,Customer Service,0
1523,Royal Mail system suffering major problems leaving people unable to post packages ,Customer Service,0
903,#royalmail compensation claim is a con don’t be fooled!,Customer Service,0
2170,"Good morning Sussex. Hope today ""delivers"" a bunch of great jobs for you to apply for. ^Rodger

Postperson with Driving, @RoyalMail Billingshurst. Info/apply:    #SussexJobs #BillingshurstJobs #DrivingJobs #DeliveryJobs #RoyalMail ",Royal Mail Jobs,4
2366,Get your #engineering #career started with one of the UK's best-known employers:  #apprenticeships #STEM #RoyalMail,Royal Mail Jobs,4
1627,"So #royalmail can manage to deliver an item that was only posted on Wed (48hr) But no sign of an item sent on 4th Jan... they just apologise and say delays in a few postal areas

Absolute madness.",Customer Service,0
2120,Dosbarth Dau wrote some amazing applications for the Postman job today👏🏼... wonder who Royal Mail will hire!! 👀📮 #royalmail #Jollypostman,Royal Mail Jobs,4
1148,#royalmail shambolic service and very difficult process to put a claim in for our marriage certificate and wife’s driving licence. Lost in their so called ‘first class’ recorded delivery service. Painful processes!!!,Customer Service,0
2311,"✉️ Reply n. 393 👑
🎄 Christmas reply from
TI&amp;RH Prince Amedeo and Princess Elisabetta of Belgium 
#royalmail #royalletters #royalreply ",Royal Reply,5
1623,Thank you #royalmail Andover for finally delivering our postcards today they literally took you month from the date of posting! ,Customer Service,0
1998,A lovely thank you card from Her Majesty The Queen of Denmark 🇩🇰 Thanking me for sending my Christmas wishes and congratulations on her Golden Jubilee. #Royal #royalletter #royalmail #royalreply #denmark #Christmas ,Royal Reply,5
22,Yay. Thanx #RoyalMail Horsham delivery office for my missing an important medical appt!!!!!!!!!!!!,Customer Service,0
2452,CITADEL ADVISORS EUROPE LIMITED declares that on June 08 it reduced its net short position on ROYAL MAIL PLC from 0.56% to 0.43%  #RoyalMail,Financial News,1
1692,"Happy 10Watt Laser Day to new members of the @snapmaker UK laser family. Big shipment cleared customs this week and arrived in UK warehouse, and #royalmail delivered the last mile like the pros they are today. Elated barely describes it... ",Customer Service,0
1343,#royalmail think you have a thieving scumbag working for you. ,Customer Service,0
1769,@RoyalMailHelp  our postwoman can’t read she put another areas letter through my door &amp; didn’t even put it through my letter box she shoved it through my side door that was open &amp; onto my kitchen worktop 😡 #royalmail,Customer Service,0
1547,Thanks Taunton Delivery for making D’s day. He’s delivered the internal mail at school through lockdown and kept friends connected. Today Darren Lake delivered a letter of thanks for his service as well as his own bag and high vis to wear at school #royalmail #makemesmile ,Customer Service,0
