,cleaned_text,topic_hl,cat codes,inference,predicted_class,prob,predicted_code
0,So excited to get this delivery from the postie #royalmail royalmailuk Thanks thedrybag… ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9634349346160889}",,0.0,0
1,#royalmail  chief lost his job after #loosing many #letters and #parcels,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9593278169631958}",,0.0,0
2,#RoyalMail are “in” ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9614389538764954}",,0.0,0
3,"Oh no a crappy, archaic service provider is providing crapper service over Xmas to gain.......? Nothing! Massive bunch of quilts! #royalmail ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9568086266517639}",,0.0,0
4,"Yesterday we got three items of junk mail - one trying to sell me a holiday to somewhere or other. 

I used to be a postal worker myself. NO WAY should these heroic guys and gals be delivering #junkmail at a time like this.

@CWUnews @DaveWardGS #RoyalMail #postie #staysafe",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9557331800460815}",,0.0,0
5,"#royalmail #postiffice I have filled in forms, sent emails, made phone calls and still I get junk mail through the door with my mail. So from now on I will put it back in the letterbox #waste #green #saveourplanet",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9629450440406799}",,0.0,0
6,#royalmail Why have you left a card through my door telling me to collect my parcel from a delivery centre 20 miles away? you shouldn't be asking people to come in to delivery centres anyway let alone travel 20 miles to do so which I can't do as I am over 70,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9609960913658142}",,0.0,0
7,#RoyalMail office floor files 😂 ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9637616872787476}",,0.0,0
8,#RoyalMail to launch #parcel postboxes ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9640093445777893}",,0.0,0
9,CITADEL ADVISORS EUROPE LIMITED declares a net short position of 0.56% on April 27 on ROYAL MAIL PLC  #RoyalMail,Financial News,1,"{'label': 'Financial News', 'score': 0.9732166528701782}",,0.0,0
10,Special delivery your having a laugh. Pay for next day delivery and dosent turn up joke #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9628368020057678}",,0.0,0
